10101,GT,0,07:00:00 AM,07:00:00 AM
10101,TM,1,07:05:00 AM,07:05:00 AM
10101,WI,2,07:10:00 AM,07:10:00 AM
10101,GA,3,07:15:00 AM,07:15:00 AM
10111,GA,0,07:30:00 AM,07:30:00 AM
10111,WI,1,07:35:00 AM,07:35:00 AM
10111,TM,2,07:40:00 AM,07:40:00 AM
10111,GT,3,07:45:00 AM,07:45:00 AM
10102,GT,0,08:00:00 AM,08:00:00 AM
10102,TM,1,08:05:00 AM,08:05:00 AM
10102,WI,2,08:10:00 AM,08:10:00 AM
10102,GA,3,08:15:00 AM,08:15:00 AM
10112,GA,0,08:30:00 AM,08:30:00 AM
10112,WI,1,08:35:00 AM,08:35:00 AM
10112,TM,2,08:40:00 AM,08:40:00 AM
10112,GT,3,08:45:00 AM,08:45:00 AM
10103,GT,0,09:00:00 AM,09:00:00 AM
10103,TM,1,09:05:00 AM,09:05:00 AM
10103,WI,2,09:10:00 AM,09:10:00 AM
10103,GA,3,09:15:00 AM,09:15:00 AM
10113,GA,0,09:30:00 AM,09:30:00 AM
10113,WI,1,09:35:00 AM,09:35:00 AM
10113,TM,2,09:40:00 AM,09:40:00 AM
10113,GT,3,09:45:00 AM,09:45:00 AM
10104,GT,0,10:00:00 AM,10:00:00 AM
10104,TM,1,10:05:00 AM,10:05:00 AM
10104,WI,2,10:10:00 AM,10:10:00 AM
10104,GA,3,10:15:00 AM,10:15:00 AM
10114,GA,0,10:30:00 AM,10:30:00 AM
10114,WI,1,10:35:00 AM,10:35:00 AM
10114,TM,2,10:40:00 AM,10:40:00 AM
10114,GT,3,10:45:00 AM,10:45:00 AM
10105,GT,0,04:00:00 PM,04:00:00 PM
10105,TM,1,04:05:00 PM,04:05:00 PM
10105,WI,2,04:10:00 PM,04:10:00 PM
10105,GA,3,04:15:00 PM,04:15:00 PM
10115,GA,0,04:30:00 PM,04:30:00 PM
10115,WI,1,04:35:00 PM,04:35:00 PM
10115,TM,2,04:40:00 PM,04:40:00 PM
10115,GT,3,04:45:00 PM,04:45:00 PM
10106,GT,0,05:00:00 PM,05:00:00 PM
10106,TM,1,05:05:00 PM,05:05:00 PM
10106,WI,2,05:10:00 PM,05:10:00 PM
10106,GA,3,05:15:00 PM,05:15:00 PM
10116,GA,0,05:30:00 PM,05:30:00 PM
10116,WI,1,05:35:00 PM,05:35:00 PM
10116,TM,2,05:40:00 PM,05:40:00 PM
10116,GT,3,05:45:00 PM,05:45:00 PM
10107,GT,0,06:00:00 PM,06:00:00 PM
10107,TM,1,06:05:00 PM,06:05:00 PM
10107,WI,2,06:10:00 PM,06:10:00 PM
10107,GA,3,06:15:00 PM,06:15:00 PM
10117,GA,0,06:30:00 PM,06:30:00 PM
10117,WI,1,06:35:00 PM,06:35:00 PM
10117,TM,2,06:40:00 PM,06:40:00 PM
10117,GT,3,06:45:00 PM,06:45:00 PM
10108,GT,0,07:00:00 PM,07:00:00 PM
10108,TM,1,07:05:00 PM,07:05:00 PM
10108,WI,2,07:10:00 PM,07:10:00 PM
10108,GA,3,07:15:00 PM,07:15:00 PM
10118,GA,0,07:30:00 PM,07:30:00 PM
10118,WI,1,07:35:00 PM,07:35:00 PM
10118,TM,2,07:40:00 PM,07:40:00 PM
10118,GT,3,07:45:00 PM,07:45:00 PM
